,,0
srch_id,srch_id,1.0
promotion_flag,promotion_flag,1.0
comp1_rate,comp1_rate,1.0
random_bool,random_bool,1.0
orig_destination_distance,orig_destination_distance,1.0
srch_query_affinity_score,srch_query_affinity_score,1.0
srch_saturday_night_bool,srch_saturday_night_bool,1.0
srch_room_count,srch_room_count,1.0
srch_children_count,srch_children_count,1.0
srch_adults_count,srch_adults_count,1.0
srch_booking_window,srch_booking_window,1.0
srch_length_of_stay,srch_length_of_stay,1.0
srch_destination_id,srch_destination_id,1.0
price_usd,price_usd,1.0
site_id,site_id,1.0
position,position,1.0
prop_log_historical_price,prop_log_historical_price,1.0
prop_location_score2,prop_location_score2,1.0
prop_location_score1,prop_location_score1,1.0
prop_brand_bool,prop_brand_bool,1.0
prop_review_score,prop_review_score,1.0
prop_starrating,prop_starrating,1.0
prop_id,prop_id,1.0
prop_country_id,prop_country_id,1.0
visitor_hist_adr_usd,visitor_hist_adr_usd,1.0
visitor_hist_starrating,visitor_hist_starrating,1.0
comp1_inv,comp1_inv,1.0
comp1_rate_percent_diff,comp1_rate_percent_diff,1.0
comp2_rate,comp2_rate,1.0
comp2_inv,comp2_inv,1.0
year,year,1.0
booking_bool,booking_bool,1.0
gross_bookings_usd,gross_bookings_usd,1.0
click_bool,click_bool,1.0
comp8_rate_percent_diff,comp8_rate_percent_diff,1.0
comp8_inv,comp8_inv,1.0
comp8_rate,comp8_rate,1.0
comp7_rate_percent_diff,comp7_rate_percent_diff,1.0
comp7_inv,comp7_inv,1.0
comp7_rate,comp7_rate,1.0
comp6_rate_percent_diff,comp6_rate_percent_diff,1.0
comp6_inv,comp6_inv,1.0
comp6_rate,comp6_rate,1.0
comp5_rate_percent_diff,comp5_rate_percent_diff,1.0
comp5_inv,comp5_inv,1.0
comp5_rate,comp5_rate,1.0
comp4_rate_percent_diff,comp4_rate_percent_diff,1.0
comp4_inv,comp4_inv,1.0
comp4_rate,comp4_rate,1.0
comp3_rate_percent_diff,comp3_rate_percent_diff,1.0
comp3_inv,comp3_inv,1.0
comp3_rate,comp3_rate,1.0
comp2_rate_percent_diff,comp2_rate_percent_diff,1.0
visitor_location_country_id,visitor_location_country_id,1.0
month,month,1.0
booking_bool,click_bool,0.782888613406975
click_bool,booking_bool,0.782888613406975
comp5_rate,comp8_rate,0.6366047920686759
comp8_rate,comp5_rate,0.6366047920686759
comp3_rate_percent_diff,comp8_rate_percent_diff,0.6349621788609786
comp8_rate_percent_diff,comp3_rate_percent_diff,0.6349621788609786
comp5_rate_percent_diff,comp3_rate_percent_diff,0.5906580901194612
comp3_rate_percent_diff,comp5_rate_percent_diff,0.5906580901194612
comp5_inv,comp1_inv,0.5121213979079385
comp1_inv,comp5_inv,0.5121213979079385
comp8_rate,comp4_rate,0.5101329329438802
comp4_rate,comp8_rate,0.5101329329438802
comp3_rate,comp2_rate,0.5100666193765137
comp2_rate,comp3_rate,0.5100666193765137
comp6_rate,comp7_rate,0.5100585883051445
comp7_rate,comp6_rate,0.5100585883051445
comp5_rate_percent_diff,comp8_rate_percent_diff,0.5083390855828661
comp8_rate_percent_diff,comp5_rate_percent_diff,0.5083390855828661
visitor_hist_starrating,visitor_hist_adr_usd,0.49861833435907843
visitor_hist_adr_usd,visitor_hist_starrating,0.49861833435907843
visitor_location_country_id,prop_country_id,0.4827869798886807
prop_country_id,visitor_location_country_id,0.4827869798886807
comp8_rate,comp2_rate,0.47818119383502117
comp2_rate,comp8_rate,0.47818119383502117
comp5_rate,comp1_rate,0.47595546285744683
comp1_rate,comp5_rate,0.47595546285744683
srch_adults_count,srch_room_count,0.4714281597548895
srch_room_count,srch_adults_count,0.4714281597548895
comp3_rate,comp8_rate,0.4667625610395649
comp8_rate,comp3_rate,0.4667625610395649
srch_length_of_stay,gross_bookings_usd,0.444523839879199
gross_bookings_usd,srch_length_of_stay,0.444523839879199
comp8_rate,comp1_rate,0.4408082733700748
comp1_rate,comp8_rate,0.4408082733700748
prop_location_score1,prop_location_score2,0.4359831672562495
prop_location_score2,prop_location_score1,0.4359831672562495
